Source,Target
CVX,Enrique Hernandez_60
CVX,Charles Moorman_64
CI,David Cordani_50
CI,Lisa Bacus_51
CI,Michelle Gass_48
CI,Jane Henney_68
CI,John Partridge_66
CI,Eric Wiseman_60
CI,William Zollars_68
XEC,Hans Helmerich_57
CINF,Linda Clement-Holmes_53
CINF,William McMullen_55
CTAS,James Holloman_60
CTAS,Joseph Scaminace_62
CTAS,Ronald Tysoe_63
CSCO,Rebecca Jacoby_54
CSCO,M. Michele Burns_58
CSCO,John Hennessy_63
CSCO,Kristina Johnson_58
CSCO,Roderick McGeary_65
CSCO,Arun Sarin_61
CSCO,Steven West_60
C,Barbara Desoer_63
C,Eugene McQuade_67
C,Renee James_52
C,Gary Reiner_61
C,Judith Rodin_71
C,Joan Spero_71
C,James Turley_60
C,Ernesto Zedillo Ponce de Leon_64
CFG,Arthur Ryan_73
CFG,Charles Koch_69
CTXS,Robert Calderoni_56
CTXS,Nanci Caldwell_58
CTXS,Robert Daleo_66
CLX,Laura Stein_54
CLX,Amy Banse_57
CLX,Allan Mackay_60
CLX,Esther Lee_57
CLX,Robert Matschullat_68
CLX,Jeffrey Noddle_69
CLX,Rogelio Rebolledo_71
CLX,Christopher Williams_58
CMS,John Sznewajs_48
CMS,Laura Wright_56
COH,Jide Zeitlin_52
COH,David Denton_50
COH,Susan Kropf_67
COH,William Nuti_52
COH,Stephanie Tilenius_48
KO,Muhtar Kent_63
KO,Kathy Waller_57
KO,Barry Diller_74
KO,Helene Gayle_60
KO,Alexis Herman_68
KO,Robert Kotick_53
KO,Maria Lagomasino_66
CTSH,Francisco D'Souza_47
CTSH,Karen McLoughlin_51
CTSH,Zein Abdalla_57
CTSH,Jonathan Chadwick_50
CL,Ian Cook_63
CL,Franck Moison_62
CL,Patricia Verduin_56
CL,P. Justin Skala_56
CL,Noel Wallace_51
CL,John Bilbrey_59
CL,John Cahill_58
CL,Helene Gayle_60
CL,Ellen Hancock_73
CL,C. Martin Harris_59
CL,Lorrie Norrington_56
CL,Michael Polk_55
CMCSA.O,Michael Cavanagh_50
CMCSA.O,Stephen Burke_57
CMCSA.O,Kenneth Bacon_61
CMCSA.O,Edward Breen_60
CMCSA.O,Gerald Hassell_64
CMCSA.O,Johnathan Rodgers_70
CMCSA.O,Judith Rodin_71
CMA,Ralph Babb_67
CMA,Reginald Turner_56
