Source,Target
CLX,Robert Matschullat_68,1
CLX,Jeffrey Noddle_69,1
CLX,Rogelio Rebolledo_71,1
CLX,Christopher Williams_58,1
CMS,John Sznewajs_48,1
CMS,Laura Wright_56,1
COH,Jide Zeitlin_52,1
COH,David Denton_50,1
COH,Susan Kropf_67,1
COH,William Nuti_52,1
COH,Stephanie Tilenius_48,1
KO,Muhtar Kent_63,1
KO,Kathy Waller_57,1
KO,Barry Diller_74,1
KO,Helene Gayle_60,1
KO,Alexis Herman_68,1
KO,Robert Kotick_53,1
KO,Maria Lagomasino_66,1
CTSH,Francisco D'Souza_47,1
CTSH,Karen McLoughlin_51,1
CTSH,Zein Abdalla_57,1
CTSH,Jonathan Chadwick_50,1
CL,Ian Cook_63,1
CL,Franck Moison_62,1
CL,Patricia Verduin_56,1
CL,P. Justin Skala_56,1
CL,Noel Wallace_51,1
CL,John Bilbrey_59,1
CL,John Cahill_58,1
CL,Helene Gayle_60,1
CL,Ellen Hancock_73,1
CL,C. Martin Harris_59,1
CL,Lorrie Norrington_56,1
CL,Michael Polk_55,1
CMCSA.O,Michael Cavanagh_50,1
CMCSA.O,Stephen Burke_57,1
CMCSA.O,Kenneth Bacon_61,1
CMCSA.O,Edward Breen_60,1
CMCSA.O,Gerald Hassell_64,1
CMCSA.O,Johnathan Rodgers_70,1
CMCSA.O,Judith Rodin_71,1
CMA,Ralph Babb_67,1
CMA,Reginald Turner_56,1
CAG,Andrew Ross_48,1
CAG,Bradley Alford_59,1
CAG,Thomas Brown_60,1
CAG,Stephen Butler_68,1
CAG,Richard Lenny_64,1
CAG,Ruth Marshall_61,1
CAG,Andrew Schindler_71,1
CXO,William Easter_66,1
CXO,John Surma_61,1
COP,Charles Bunch_66,1
COP,James Copeland_71,1
COP,John Faraci_66,1
COP,Robert Niblock_53,1
ED,Vincent Calarco_73,1
ED,Armando Olivera_66,1
ED,Linda Sanford_63,1
STZ,Frederic Cumenal_56,1
STZ,Daniel McCarthy_51,1
STZ,Keith Wandell_66,1
GLW,Wendell Weeks_56,1
GLW,Richard Clark_69,1
GLW,Stephanie Burns_61,1
GLW,John Canning_72,1
GLW,Deborah Henretta_54,1
GLW,Daniel Huttenlocher_57,1
GLW,Hansel Tookes_68,1
COST,John Stanton_60,1
COST,Mary Wilderotter_61,1
COTY,Robert Singer_64,1
CCI,J. Landis Martin_70,1
CCI,Cindy Christy_50,1
CSX,Michael Ward_65,1
CSX,Ellen Fitzsimmons_55,1
CSX,Pamela Carter_66,1
CSX,Edward Kelly_63,1
CSX,David Moffett_64,1
CSX,David Ratcliffe_68,1
CSX,Donald Shepard_69,1
CSX,J. Steven Whisler_61,1
CMI,Norman Linebarger_53,1
CMI,Patrick Ward_52,1
CMI,Alexis Herman_68,1
CMI,Thomas Lynch_61,1
CMI,Georgia Nelson_66,1
CVS,David Dorman_62,1
CVS,David Denton_50,1
CVS,Helena Foulkes_51,1
CVS,Nancy-Ann DeParle_59,1
CVS,Richard Swift_71,1
CVS,William Weldon_67,1
CVS,Tony White_69,1
DHR,Mitchell Rales_59,1
DHR,Teri List-Stoll_53,1
DHR,Alan Spoon_64,1
DRI,Eugene Lee_54,1
DRI,Cynthia Jamison_56,1
DRI,Lionel Nowell_61,1
DVA,Pamela Arway_62,1
DVA,Carol Davidson_60,1
DVA,Barbara Desoer_63,1
DVA,William Roper_67,1
DE,Samuel Allen_62,1
DE,Crandall Bowles_68,1
DE,Vance Coffman_72,1
DE,Dipak Jain_59,1
DE,Clayton Jones_66,1
DE,Brian Krzanich_55,1
DE,Gregory Page_64,1
DLPH,Rajiv Gupta_70,1
DLPH,Nicholas Donofrio_70,1
DLPH,Sean Mahoney_53,1
DAL,Francis Blake_67,1
DAL,Daniel Carp_67,1
DAL,William Easter_66,1
DAL,Paula Reynolds_59,1
DAL,Kathy Waller_57,1
XRAY,Eric Brandt_53,1
XRAY,Willie Deese_60,1
DLR,Kevin Kennedy_60,1
DFS,Roger Hochschild_50,1
DFS,Mary Bush_68,1
DFS,Gregory Case_53,1
DFS,Richard Lenny_64,1
DISCA,David Zaslav_56,1
DISCA,Andrew Warren_49,1
DISCA,Jean-Briac Perrette_45,1
DISCA,Adria Alpert-Romm_61,1
DISCA,Kurt Wehner_53,1
DISCA,David Leavy_46,1
DISCA,Bruce Campbell_48,1
DISCA,Paul Guagliardo_54,1
DISCA,S. Decker Anstrom_65,1
DISCA,Robert Beck_75,1
DISCA,Robert Bennett_58,1
DISCA,Paul Gould_70,1
DISCA,John Malone_75,1
DISCA,Robert Miron_78,1
DISCA,Steven Miron_49,1
DISCA,M. LaVoy Robison_80,1
DISCA,J. David Wargo_62,1
DISCK,David Zaslav_56,1
DISCK,Andrew Warren_49,1
DISCK,Jean-Briac Perrette_45,1
DISCK,Adria Alpert-Romm_61,1
DISCK,Kurt Wehner_53,1
DISCK,David Leavy_46,1
DISCK,Bruce Campbell_48,1
DISCK,Paul Guagliardo_54,1
DISCK,S. Decker Anstrom_65,1
DISCK,Robert Beck_75,1
DISCK,Robert Bennett_58,1
DISCK,Paul Gould_70,1
DISCK,John Malone_75,1
DISCK,Robert Miron_78,1
DISCK,Steven Miron_49,1
DISCK,M. LaVoy Robison_80,1
DISCK,J. David Wargo_62,1
DG,Sandra Cochran_57,1
DG,Paula Price_54,1
DG,William Rhodes_50,1
DG,David Rickard_69,1
DLTR,Mary Citrino_57,1
D,Thomas Farrell_61,1
D,William Barr_66,1
D,James Ellis_68,1
DOV,Michael Johnston_68,1
DOV,Keith Wandell_66,1
DOW,Andrew Liveris_61,1
DOW,Joe Harlan_56,1
DOW,Jeff Fettig_59,1
DOW,Ajaypal Banga_56,1
